index,asin,reviews,ratings,seller,status,variations,browse_node,brand_name,availability,deal,image_len,video,main_img_url,bullet_point_len,bestSellerRank,price,MRP,title,description,A_plus,store_link,timestamp
,B01G9A7KR0,4.2,519,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Home Storage & Organisation > Clothing & Wardrobe Storage > Space Saver Bags,Kuber Industries,In stock,N/A,6,Available,https://m.media-amazon.com/images/I/51LTAnXYcoL._SS500_.jpg,5,"#4,608 in Home & Kitchen, #341 in Space Saver Bags",209.,599.0,Kuber Industries Cotton Blouse Cover|Polka Dots & Tranparent Side|Zipper Closure|Size 37 x 25 x 23 CM (Maroon),"Try the exclusive blouse cover from kuber industries. This products is very useful in storing, dust free and well organised gives heavy look to your garments. This cover is non wooven material with front transparent and has a capacity of storing 15 blouses. Exclusively, kuber industries sari covers truly suffices our moto - bags accessories inspired by love, crafted by hand. 10*15*9 Inches",N/A,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B01G9A7KR0&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:01
,B0DFPL79D1,4.1,1325,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Kitchen & Dining > Kitchen Storage & Containers > Racks & Holders > Dish Racks,Kuber Industries,In stock,N/A,8,Available,https://m.media-amazon.com/images/I/412HjNa97GL._SS500_.jpg,5,"#70 in Home & Kitchen, #1 in Dish Racks",4175.,16999.0,Kuber Industries Pack of 2 Stainless Steel Spoon & Dish Drainer Basket for Kitchen with Water Drainer Bottom | Utensils Plate & Bartan Stand Organizer | Kitchen Drying Rack | Silver - Cyan,"Kuber Industries Pack of 2 Stainless Steel Spoon & Dish Drainer Basket for Kitchen with Water Drainer Bottom | Utensils, Plate & Bartan Stand Organizer | Kitchen Drying Rack | Silver - Cyan",N/A,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?is_byline_deeplink=true&deeplink=EF133744-603B-4A7A-9E34-7D58AC815A97&redirect_store_id=99757152-0F58-4C92-B15F-A3E1461C526A&lp_asin=B0DFPL79D1&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:01
,B097ZWRL8V,3.1,39,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Home Furnishing > Carpets & Rugs > Doormats,Kuber Industries,In stock,N/A,7,Available,https://m.media-amazon.com/images/I/51Zc6ru6sBL._SS500_.jpg,5,"#285,195 in Home & Kitchen, #1,208 in Doormats",219.,239.0,"Kuber Industries Cotton Indoor Machine Washable Doormat, BathMat (mulicolor), Standard (HS39KUBMART022064)",Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B097ZWRL8V&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:02
,B0C2VMVMPH,3.1,69,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Home Storage & Organisation > Laundry Organization > Laundry Baskets,Kuber Industries,In stock,N/A,8,Available,"https://m.media-amazon.com/images/I/311yocj0MfL._SX38_SY50_CR,0,0,38,50_.jpg",0,"Not Available, Not Available",219,299.0,Kuber Industries Laundry Basket | Net Foldable Laundry | Nylon Storage Basket with Handle | Clothes Basket for Home | Hostel | Toy Storage | 20 Liter | Green,,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?is_byline_deeplink=true&deeplink=3EFC9198-D1D0-4C33-8AD7-EE1093AA3372&redirect_store_id=99757152-0F58-4C92-B15F-A3E1461C526A&lp_asin=B0C3RQL1VH&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:02
,B0CW626P5K,4.2,242,N/A,Live,Available,Outdoor Living > Gardening > Plant Containers > Flower Pots,Kuber Industries,Currently unavailable. We don't know when or if this item will be back in stock.,N/A,8,Not Available,https://m.media-amazon.com/images/I/41WevFiz5pL._SS500_.jpg,5,"#487 in Garden & Outdoors, #18 in Flower Pots",379.,0,Kuber Industries Kanha Matki Flower Pot | Flower Planter Pots for Indoor & Outdoor | Pot for Garden & Balcony Flowering | 6 Inch | Pack of 6 | White,"Elevate Your Gardening Experience with our Flower Pot from Kuber Industries. This flower pot is more than just a planter; it's a canvas for your botanical creativity. Crafted with precision and designed for aesthetic appeal, our flower pot adds a touch of elegance to any space. Whether you're a seasoned gardener or a beginner, this pot provides the perfect environment for your plants to thrive. Its durable and high-quality material ensures longevity and sturdiness, allowing you to enjoy your green companions for years to come.Give your plants a beautiful home, and watch as they flourish and enhance the ambiance of your home or garden with our Flower Pot.",N/A,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B0CW626P5K&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:12
,B01J1X3E0E,3.2,21,Kuber Mart Industries Pvt. Ltd.,Live,N/A,"Bags, Wallets and Luggage > Luggage > Travel Duffles",Kuber Industries,In stock,N/A,6,Available,https://m.media-amazon.com/images/I/5126t5vsP+L._SS500_.jpg,3,"#14,588 in Bags, Wallets and Luggage, #648 in Travel Duffels",209.,659.0,"Kuber Industries Women's Cotton Traditional Design Mini Handbag, Blue (KI0044913)",Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?is_byline_deeplink=true&deeplink=76DC0D4E-FB25-46A1-ABAA-73EF5C643A70&redirect_store_id=99757152-0F58-4C92-B15F-A3E1461C526A&lp_asin=B01J1X3E0E&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:16
,B097ZWV1MP,4.2,77,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Furniture > Bathroom Furniture > Bathroom Stools,Kuber Industries,In stock,N/A,8,Available,https://m.media-amazon.com/images/I/41szWo8QUwL._SS500_.jpg,5,"#37,020 in Home & Kitchen, #58 in Bathroom Stools",1299.,2299.0,"Kuber Industries Flower Design Multipurposes Plastic Sitting Stool (Cream), Standard (HS39KUBMART023880)",Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?is_byline_deeplink=true&deeplink=931B206F-2097-46D7-9298-90957134BC19&redirect_store_id=99757152-0F58-4C92-B15F-A3E1461C526A&lp_asin=B097ZWV1MP&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:18
,B0C2VPGC7D,3.6,12,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Home Storage & Organisation > Laundry Organization > Laundry Baskets,Kuber Industries,In stock,N/A,8,Available,https://m.media-amazon.com/images/I/41mnI9Ej5NL._SS500_.jpg,5,"#231,897 in Home & Kitchen, #634 in Laundry Baskets",219.,299.0,Kuber Industries Laundry Basket | Net Foldable Laundry | Nylon Storage Basket with Handle | Clothes Basket for Home | Hostel | Toy Storage | 20 Liter | Red,Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B0C2VPGC7D&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:29
,B01M0ENCRD,4.1,5140,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Home Furnishing > Kitchen Linens > Table Cloths,Kuber Industries,In stock,N/A,8,Available,https://m.media-amazon.com/images/I/51vQQ3OtH0L._SS500_.jpg,5,"#2,473 in Home & Kitchen, #83 in Table Cloths",233.,598.0,Kuber Industries Center Table Cover|Cotton Center Table Cover for Living Room|Table Cloth for 4 Seater|White,Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B01M0ENCRD&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:37
,B0CW65LRX4,3.8,145,N/A,Live,Available,Home & Kitchen > Home Furnishing > Bedding & Linen > Mattresses Protectors,Kuber Industries,Currently unavailable. We don't know when or if this item will be back in stock.,N/A,8,Available,https://m.media-amazon.com/images/I/41iF2cNlWLL._SS500_.jpg,5,"#169,252 in Home & Kitchen, #361 in Mattresses Protectors",227.,0,Kuber Industries PVC Double Bed Mattress Protector | Waterproof & Dustproof | 80x80 Inch Brown,Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B0CW65LRX4&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:42
,B0DHCCZ5B6,0,0,N/A,Live,N/A,Home & Kitchen > Home Furnishing > Carpets & Rugs > Runners,Heart Home,Currently unavailable. We don't know when or if this item will be back in stock.,N/A,8,Available,https://m.media-amazon.com/images/I/41tpbWevpRL._SS500_.jpg,5,"#677,179 in Home & Kitchen, #585 in Runners",1209.,0,Heart Home 22x55 Inch Anti-Skid Microfibre Bed Side Runner for Bedroom | Gentle & Soft Rugs for Living Area & Long Kitchen Runner for Floor | Leaf Design - Brown,"This rugs for bedroom is designed to give comfort while it makes sure there’s. You can use it as a long door mats for home, which keeps the area clean while adding a touch of elegance. It’s also a perfect bed side runner for bedroom & sofa mat which adds a warm feel underfoot. It is made from gentle soft, which gives it a texture, making every step a pleasure. Don’t worry about moving it because this long door mat stays in place because of the strong backing.",N/A,http://amazon.in/stores/HeartHome/page/A4D6452A-0853-4E55-BBE3-6999FD61AB9A?is_byline_deeplink=true&deeplink=524E4474-835F-4DC9-A3BE-F94E630FF4DB&redirect_store_id=A4D6452A-0853-4E55-BBE3-6999FD61AB9A&lp_asin=B0DHCCZ5B6&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:45
,B0C2VQWJZM,3.9,131,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Home Storage & Organisation > Laundry Organization > Laundry Baskets,Kuber Industries,In stock,N/A,8,Available,https://m.media-amazon.com/images/I/418vUWR2D2L._SS500_.jpg,5,"#52,971 in Home & Kitchen, #205 in Laundry Baskets",159.,299.0,Kuber Industries Laundry Basket | Net Foldable Laundry | Nylon Storage Basket with Handle | Clothes Basket for Home | Hostel | Toy Storage | 20 Liter | Blue,Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B0C2VQWJZM&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:47
,B097ZWVFS5,3.8,171,N/A,Live,N/A,Home & Kitchen > Home Storage & Organisation > Bathroom Accessories & Organization > Bathroom Accessory Sets,Kuber Industries,Currently unavailable. We don't know when or if this item will be back in stock.,N/A,8,Available,https://m.media-amazon.com/images/I/41hX6LrFJSL._SS500_.jpg,5,"#349,455 in Home & Kitchen, #775 in Bathroom Accessory Sets",329.,0,Kuber Industries Printed 2 Pieces Unbreakable Virgin Plastic Multipurpose Bathroom Bucket & Mug Set (Pink),Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B097ZWVFS5&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:48
,B01MT2RDEM,3.8,134,Kuber Mart Industries Pvt. Ltd.,Live,Available,Home & Kitchen > Home Furnishing > Kitchen Linens > Table Runners,Kuber Industries,In stock,N/A,7,Not Available,https://m.media-amazon.com/images/I/51sxuDpvACL._SS500_.jpg,5,"#92,270 in Home & Kitchen, #185 in Table Runners",169.,299.0,Kuber Industries Table Runner Virgin Vinyl (Soft Fabric) Gold Standard (MKUKITable0058233),Not Available,Available,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?lp_asin=B01MT2RDEM&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:41:56
,B0CWH27G8Y,3.5,9,N/A,Live,N/A,Home & Kitchen > Home Storage & Organisation > Laundry Organization > Ironing Boards,Kuber Industries,Currently unavailable. We don't know when or if this item will be back in stock.,N/A,8,Available,https://m.media-amazon.com/images/I/41dz8119JdL._SS500_.jpg,5,"#433,485 in Home & Kitchen, #243 in Ironing Boards",1903.,0,Kuber Industries Tabletop Ironing Board|Ironing Stand for Clothes|Press Table Stand for Home (Grey),"Kuber Industries 42 Inch Ironing Board boasts a durable wooden panel and a lacquer-coated iron stand, ensuring a stable and stylish ironing surface. With adjustable height settings and a generous 42-inch length, it accommodates a variety of clothing items. Its foldable design makes storage a breeze, making it a practical addition to any laundry or utility room.",N/A,http://amazon.in/stores/KuberIndustries/page/99757152-0F58-4C92-B15F-A3E1461C526A?is_byline_deeplink=true&deeplink=A711F467-2AB8-4B52-9CCB-050A2435F48B&redirect_store_id=99757152-0F58-4C92-B15F-A3E1461C526A&lp_asin=B0CWH27G8Y&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,2025-08-17 11:42:14
